FFT1,FFT2,FFT3,FFT4,FFT5,FFT6,FFT7,target
405583736.31259394,543449131.981903,407918158.4914552,266431007.65873003,188061282.70563075,129291585.73278484,101568102.22449514,afuera
383779050.0468074,495753135.9481903,397657435.23116636,258237896.42395604,170458803.10922414,129491405.98122567,97067941.86761177,afuera
161775613.75112486,169718432.7604645,95696991.31193653,81601298.47328714,65633802.85524501,59575864.63019407,57955304.34137182,arriba
133376652.94381505,110335601.84802556,79618452.43323067,66087115.99331267,62250270.355340816,57029096.84102869,57842331.3130034,arriba
100625174.60851434,84041582.55207562,66795617.76854178,58579424.321033,55991966.17434537,53010442.54557715,52292702.946126476,abajo
103326845.54046318,83985920.68875971,64169139.1848429,59355002.31905052,57762250.08386327,56110512.41599478,54593067.481679074,abajo
101946855.90413478,88952530.86167836,65361172.25184583,60415179.358610004,57029059.13104555,57077416.42520085,54973008.50867733,adentro
69700695.0166766,69867261.62459512,59696436.000476226,54667842.02403797,52497929.380311444,50943392.14898011,50346010.09495245,adentro
268356701.5559268,346422226.32794136,208937401.85652077,136023195.71221876,96969434.20735821,74262161.86223581,61728749.10763404,afuera
183280975.8462183,349625211.59013516,220370679.4535473,141738045.2939397,96521611.99821708,78935135.8909283,64887096.39610662,afuera
90000418.57496886,95782690.29546204,73414044.92369063,63698434.567260444,55814705.44152828,55167007.83634193,54490751.55351656,arriba
137418886.89203474,111713552.77087459,76789659.2601782,64791092.79756755,60034318.5454635,54370466.80407489,55808598.66421564,arriba
204837257.9378581,147615639.86185467,99467760.46168415,82100303.912943,67844096.10541615,65023970.76724009,61487210.72969828,abajo
170435656.71099398,133289061.95217639,91351904.92245121,81667117.93644983,67292141.98734894,62194738.516685545,61498923.22467816,abajo
203351391.426223,184521790.32189822,92649548.26469597,80301029.07141548,73821331.3555308,69545261.7584527,69424560.54828914,adentro
150998359.02359155,171827791.54167837,87736913.29768401,70283214.2815676,59340424.632322036,55329017.904010534,55138038.82888155,adentro
